Call Id,Agent,Date,Time,Topic,Answered (Y/N),Resolved,Speed of answer in seconds,AvgTalkDuration,Satisfaction rating,AvgTalkSeconds,Hour
ID0053,Stewart,2021-01-01,1900-01-01 17:36:58,Payment related,Y,Y,13.0,1900-01-01 00:01:15,5.0,75.0,17
ID0054,Dan,2021-01-01,1900-01-01 17:36:58,Payment related,Y,Y,119.0,1900-01-01 00:02:32,5.0,152.0,17
ID0055,Becky,2021-01-01,1900-01-01 17:44:10,Streaming,Y,Y,35.0,1900-01-01 00:01:19,3.0,79.0,17
ID0056,Dan,2021-01-01,1900-01-01 17:44:10,Streaming,Y,Y,83.0,1900-01-01 00:06:45,4.0,405.0,17
ID0057,Jim,2021-01-01,1900-01-01 17:57:07,Technical Support,Y,Y,48.0,1900-01-01 00:02:52,2.0,172.0,17
ID0058,Stewart,2021-01-01,1900-01-01 17:57:07,Admin Support,Y,Y,45.0,1900-01-01 00:03:23,5.0,203.0,17
ID0059,Dan,2021-01-02,1900-01-01 09:05:46,Technical Support,Y,Y,65.0,1900-01-01 00:06:00,5.0,360.0,9
ID0060,Dan,2021-01-02,1900-01-01 09:05:46,Contract related,Y,Y,50.0,1900-01-01 00:04:26,3.0,266.0,9
ID0061,Diane,2021-01-02,1900-01-01 09:18:43,Streaming,Y,Y,17.0,1900-01-01 00:06:15,3.0,375.0,9
ID0062,Joe,2021-01-02,1900-01-01 09:18:43,Technical Support,N,N,,,,,9
ID0063,Dan,2021-01-02,1900-01-01 09:20:10,Streaming,Y,Y,96.0,1900-01-01 00:06:46,1.0,406.0,9
ID0064,Stewart,2021-01-02,1900-01-01 09:20:10,Streaming,Y,Y,90.0,1900-01-01 00:06:23,3.0,383.0,9
ID0065,Jim,2021-01-02,1900-01-01 09:38:53,Contract related,Y,Y,98.0,1900-01-01 00:06:25,2.0,385.0,9
ID0066,Diane,2021-01-02,1900-01-01 09:38:53,Technical Support,Y,N,90.0,1900-01-01 00:01:23,4.0,83.0,9
ID0067,Jim,2021-01-02,1900-01-01 10:04:48,Contract related,Y,Y,98.0,1900-01-01 00:05:49,5.0,349.0,10
ID0068,Jim,2021-01-02,1900-01-01 10:04:48,Contract related,Y,Y,70.0,1900-01-01 00:03:12,5.0,192.0,10
ID0069,Diane,2021-01-02,1900-01-01 10:33:36,Contract related,Y,Y,69.0,1900-01-01 00:04:45,4.0,285.0,10
ID0070,Diane,2021-01-02,1900-01-01 10:33:36,Admin Support,N,N,,,,,10
ID0071,Joe,2021-01-02,1900-01-01 11:08:10,Technical Support,Y,Y,120.0,1900-01-01 00:02:11,4.0,131.0,11
ID0072,Stewart,2021-01-02,1900-01-01 11:08:10,Admin Support,Y,Y,113.0,1900-01-01 00:05:51,5.0,351.0,11
ID0073,Greg,2021-01-02,1900-01-01 11:26:53,Payment related,Y,N,10.0,1900-01-01 00:02:19,5.0,139.0,11
ID0074,Becky,2021-01-02,1900-01-01 11:26:53,Contract related,Y,Y,122.0,1900-01-01 00:04:53,1.0,293.0,11
ID0075,Stewart,2021-01-02,1900-01-01 11:42:43,Technical Support,Y,N,125.0,1900-01-01 00:01:38,3.0,98.0,11
ID0076,Diane,2021-01-02,1900-01-01 11:42:43,Admin Support,N,N,,,,,11
ID0077,Martha,2021-01-02,1900-01-01 11:47:02,Technical Support,Y,Y,33.0,1900-01-01 00:06:38,2.0,398.0,11
ID0078,Dan,2021-01-02,1900-01-01 11:47:02,Contract related,Y,Y,51.0,1900-01-01 00:06:22,2.0,382.0,11
ID0079,Becky,2021-01-02,1900-01-01 11:54:14,Contract related,Y,Y,58.0,1900-01-01 00:03:28,3.0,208.0,11
ID0080,Dan,2021-01-02,1900-01-01 11:54:14,Admin Support,Y,Y,121.0,1900-01-01 00:04:47,5.0,287.0,11
ID0081,Diane,2021-01-02,1900-01-01 12:00:00,Admin Support,Y,Y,118.0,1900-01-01 00:02:06,4.0,126.0,12
ID0082,Greg,2021-01-02,1900-01-01 12:00:00,Payment related,Y,Y,52.0,1900-01-01 00:06:56,4.0,416.0,12
ID0083,Stewart,2021-01-02,1900-01-01 12:20:10,Admin Support,Y,Y,55.0,1900-01-01 00:04:44,3.0,284.0,12
ID0084,Dan,2021-01-02,1900-01-01 12:20:10,Contract related,Y,Y,68.0,1900-01-01 00:05:59,4.0,359.0,12
ID0085,Becky,2021-01-02,1900-01-01 12:41:46,Technical Support,Y,Y,106.0,1900-01-01 00:04:22,5.0,262.0,12
ID0086,Martha,2021-01-02,1900-01-01 12:41:46,Technical Support,Y,Y,32.0,1900-01-01 00:04:36,3.0,276.0,12
ID0087,Jim,2021-01-02,1900-01-01 12:44:38,Payment related,N,N,,,,,12
ID0088,Martha,2021-01-02,1900-01-01 12:44:38,Admin Support,Y,N,45.0,1900-01-01 00:01:26,4.0,86.0,12
ID0089,Joe,2021-01-02,1900-01-01 12:59:02,Technical Support,Y,Y,119.0,1900-01-01 00:03:32,4.0,212.0,12
ID0090,Dan,2021-01-02,1900-01-01 12:59:02,Streaming,N,N,,,,,12
ID0091,Jim,2021-01-02,1900-01-01 13:03:22,Contract related,Y,Y,46.0,1900-01-01 00:05:41,1.0,341.0,13
ID0092,Stewart,2021-01-02,1900-01-01 13:03:22,Technical Support,Y,Y,101.0,1900-01-01 00:01:28,3.0,88.0,13
ID0093,Jim,2021-01-02,1900-01-01 13:04:48,Technical Support,Y,Y,56.0,1900-01-01 00:02:52,3.0,172.0,13
ID0094,Becky,2021-01-02,1900-01-01 13:04:48,Technical Support,Y,Y,80.0,1900-01-01 00:00:53,3.0,53.0,13
ID0095,Diane,2021-01-02,1900-01-01 13:13:26,Streaming,Y,Y,24.0,1900-01-01 00:01:36,3.0,96.0,13
ID0096,Stewart,2021-01-02,1900-01-01 13:13:26,Payment related,Y,Y,113.0,1900-01-01 00:03:54,2.0,234.0,13
ID0097,Greg,2021-01-02,1900-01-01 13:20:38,Contract related,Y,Y,19.0,1900-01-01 00:02:03,4.0,123.0,13
ID0098,Martha,2021-01-02,1900-01-01 13:20:38,Streaming,N,N,,,,,13
ID0099,Dan,2021-01-02,1900-01-01 13:20:38,Contract related,Y,Y,45.0,1900-01-01 00:06:37,3.0,397.0,13
ID0100,Diane,2021-01-02,1900-01-01 13:20:38,Technical Support,Y,Y,95.0,1900-01-01 00:05:11,1.0,311.0,13
ID0101,Becky,2021-01-02,1900-01-01 13:45:07,Technical Support,N,N,,,,,13
ID0102,Martha,2021-01-02,1900-01-01 13:45:07,Technical Support,Y,N,79.0,1900-01-01 00:05:31,1.0,331.0,13
ID0103,Diane,2021-01-02,1900-01-01 13:49:26,Payment related,Y,Y,22.0,1900-01-01 00:03:56,2.0,236.0,13
ID0104,Martha,2021-01-02,1900-01-01 13:49:26,Contract related,Y,Y,38.0,1900-01-01 00:06:36,1.0,396.0,13
ID0105,Becky,2021-01-02,1900-01-01 13:53:46,Technical Support,Y,Y,112.0,1900-01-01 00:03:25,5.0,205.0,13
ID0106,Becky,2021-01-02,1900-01-01 13:53:46,Payment related,Y,Y,65.0,1900-01-01 00:04:57,3.0,297.0,13
ID0107,Joe,2021-01-02,1900-01-01 14:22:34,Streaming,N,N,,,,,14
ID0108,Becky,2021-01-02,1900-01-01 14:22:34,Contract related,Y,N,55.0,1900-01-01 00:02:32,1.0,152.0,14
ID0109,Stewart,2021-01-02,1900-01-01 14:52:48,Admin Support,N,N,,,,,14
ID0110,Joe,2021-01-02,1900-01-01 14:52:48,Streaming,Y,Y,19.0,1900-01-01 00:02:38,2.0,158.0,14
ID0111,Becky,2021-01-02,1900-01-01 15:10:05,Technical Support,Y,Y,53.0,1900-01-01 00:00:56,3.0,56.0,15
ID0112,Diane,2021-01-02,1900-01-01 15:10:05,Technical Support,Y,Y,24.0,1900-01-01 00:06:06,5.0,366.0,15
ID0113,Martha,2021-01-02,1900-01-01 15:36:00,Streaming,Y,Y,73.0,1900-01-01 00:06:01,3.0,361.0,15
ID0114,Stewart,2021-01-02,1900-01-01 15:36:00,Technical Support,N,N,,,,,15
ID0115,Jim,2021-01-02,1900-01-01 17:36:58,Technical Support,Y,Y,55.0,1900-01-01 00:05:47,5.0,347.0,17
ID0116,Greg,2021-01-02,1900-01-01 17:36:58,Payment related,N,N,,,,,17
ID0117,Diane,2021-01-02,1900-01-01 17:47:02,Streaming,N,N,,,,,17
ID0118,Martha,2021-01-02,1900-01-01 17:47:02,Streaming,Y,Y,23.0,1900-01-01 00:05:18,4.0,318.0,17
ID0119,Dan,2021-01-03,1900-01-01 09:10:05,Payment related,Y,N,124.0,1900-01-01 00:02:23,5.0,143.0,9
ID0120,Dan,2021-01-03,1900-01-01 09:10:05,Contract related,N,N,,,,,9
ID0121,Dan,2021-01-03,1900-01-01 09:47:31,Technical Support,Y,Y,103.0,1900-01-01 00:01:01,4.0,61.0,9
ID0122,Martha,2021-01-03,1900-01-01 09:47:31,Contract related,Y,Y,69.0,1900-01-01 00:03:45,4.0,225.0,9
ID0123,Joe,2021-01-03,1900-01-01 10:29:17,Streaming,Y,Y,78.0,1900-01-01 00:01:12,3.0,72.0,10
ID0124,Martha,2021-01-03,1900-01-01 10:29:17,Technical Support,Y,Y,78.0,1900-01-01 00:03:26,5.0,206.0,10
ID0125,Martha,2021-01-03,1900-01-01 10:37:55,Technical Support,N,N,,,,,10
ID0126,Diane,2021-01-03,1900-01-01 10:37:55,Payment related,Y,Y,44.0,1900-01-01 00:05:38,4.0,338.0,10
ID0127,Martha,2021-01-03,1900-01-01 10:52:19,Admin Support,Y,Y,35.0,1900-01-01 00:02:46,4.0,166.0,10
ID0128,Becky,2021-01-03,1900-01-01 10:52:19,Admin Support,Y,Y,102.0,1900-01-01 00:05:26,4.0,326.0,10
ID0129,Jim,2021-01-03,1900-01-01 10:52:19,Contract related,Y,Y,99.0,1900-01-01 00:05:51,3.0,351.0,10
ID0130,Jim,2021-01-03,1900-01-01 10:52:19,Admin Support,Y,Y,29.0,1900-01-01 00:04:09,3.0,249.0,10
ID0131,Becky,2021-01-03,1900-01-01 10:58:05,Admin Support,Y,N,42.0,1900-01-01 00:00:59,5.0,59.0,10
ID0132,Diane,2021-01-03,1900-01-01 10:58:05,Payment related,Y,Y,113.0,1900-01-01 00:05:40,4.0,340.0,10
ID0133,Dan,2021-01-03,1900-01-01 11:02:24,Admin Support,Y,Y,124.0,1900-01-01 00:00:53,2.0,53.0,11
ID0134,Jim,2021-01-03,1900-01-01 11:02:24,Technical Support,N,N,,,,,11
ID0135,Dan,2021-01-03,1900-01-01 11:03:50,Payment related,Y,Y,55.0,1900-01-01 00:02:13,1.0,133.0,11
ID0136,Greg,2021-01-03,1900-01-01 11:03:50,Technical Support,Y,N,105.0,1900-01-01 00:05:59,3.0,359.0,11
ID0137,Stewart,2021-01-03,1900-01-01 11:06:43,Contract related,Y,N,112.0,1900-01-01 00:03:12,5.0,192.0,11
ID0138,Martha,2021-01-03,1900-01-01 11:06:43,Contract related,N,N,,,,,11
ID0139,Becky,2021-01-03,1900-01-01 11:16:48,Technical Support,Y,Y,43.0,1900-01-01 00:06:20,5.0,380.0,11
ID0140,Joe,2021-01-03,1900-01-01 11:16:48,Payment related,Y,Y,20.0,1900-01-01 00:01:44,3.0,104.0,11
ID0141,Greg,2021-01-03,1900-01-01 11:26:53,Technical Support,Y,Y,84.0,1900-01-01 00:01:43,5.0,103.0,11
ID0142,Jim,2021-01-03,1900-01-01 11:26:53,Contract related,Y,Y,20.0,1900-01-01 00:02:44,4.0,164.0,11
ID0143,Greg,2021-01-03,1900-01-01 11:38:24,Streaming,Y,Y,101.0,1900-01-01 00:02:16,3.0,136.0,11
ID0144,Diane,2021-01-03,1900-01-01 11:38:24,Technical Support,Y,Y,31.0,1900-01-01 00:02:55,5.0,175.0,11
ID0145,Jim,2021-01-03,1900-01-01 11:52:48,Contract related,Y,Y,56.0,1900-01-01 00:04:09,5.0,249.0,11
ID0146,Joe,2021-01-03,1900-01-01 11:52:48,Contract related,N,N,,,,,11
ID0147,Joe,2021-01-03,1900-01-01 11:55:41,Payment related,Y,Y,77.0,1900-01-01 00:01:27,5.0,87.0,11
ID0148,Jim,2021-01-03,1900-01-01 11:55:41,Payment related,Y,Y,46.0,1900-01-01 00:00:50,4.0,50.0,11
ID0149,Stewart,2021-01-03,1900-01-01 11:58:34,Admin Support,Y,Y,88.0,1900-01-01 00:04:26,3.0,266.0,11
ID0150,Diane,2021-01-03,1900-01-01 11:58:34,Payment related,Y,Y,88.0,1900-01-01 00:00:58,1.0,58.0,11
ID0151,Joe,2021-01-03,1900-01-01 12:33:07,Technical Support,Y,Y,124.0,1900-01-01 00:06:03,1.0,363.0,12
ID0152,Stewart,2021-01-03,1900-01-01 12:33:07,Contract related,N,N,,,,,12
ID0153,Martha,2021-01-03,1900-01-01 12:54:43,Payment related,Y,N,52.0,1900-01-01 00:06:59,4.0,419.0,12
ID0154,Joe,2021-01-03,1900-01-01 12:54:43,Admin Support,Y,Y,67.0,1900-01-01 00:06:10,5.0,370.0,12
ID0155,Martha,2021-01-03,1900-01-01 13:12:00,Payment related,Y,Y,119.0,1900-01-01 00:04:16,3.0,256.0,13
ID0156,Dan,2021-01-03,1900-01-01 13:12:00,Admin Support,Y,Y,98.0,1900-01-01 00:04:37,2.0,277.0,13
ID0157,Jim,2021-01-03,1900-01-01 13:14:53,Technical Support,N,N,,,,,13
ID0158,Joe,2021-01-03,1900-01-01 13:14:53,Technical Support,Y,Y,118.0,1900-01-01 00:04:18,3.0,258.0,13
ID0159,Becky,2021-01-03,1900-01-01 13:27:50,Admin Support,Y,Y,123.0,1900-01-01 00:01:15,3.0,75.0,13
ID0160,Becky,2021-01-03,1900-01-01 13:27:50,Streaming,Y,N,86.0,1900-01-01 00:05:37,1.0,337.0,13
ID0161,Greg,2021-01-03,1900-01-01 13:35:02,Admin Support,Y,Y,104.0,1900-01-01 00:02:09,3.0,129.0,13
ID0162,Greg,2021-01-03,1900-01-01 13:35:02,Payment related,Y,Y,69.0,1900-01-01 00:01:33,2.0,93.0,13
ID0163,Dan,2021-01-03,1900-01-01 13:58:05,Contract related,Y,Y,113.0,1900-01-01 00:02:38,1.0,158.0,13
ID0164,Joe,2021-01-03,1900-01-01 13:58:05,Streaming,Y,Y,88.0,1900-01-01 00:03:23,5.0,203.0,13
ID0165,Joe,2021-01-03,1900-01-01 13:58:05,Streaming,N,N,,,,,13
ID0166,Stewart,2021-01-03,1900-01-01 13:58:05,Payment related,N,N,,,,,13
ID0167,Joe,2021-01-03,1900-01-01 14:03:50,Payment related,Y,Y,84.0,1900-01-01 00:00:58,2.0,58.0,14
ID0168,Diane,2021-01-03,1900-01-01 14:03:50,Streaming,Y,Y,113.0,1900-01-01 00:01:22,3.0,82.0,14
ID0169,Joe,2021-01-03,1900-01-01 14:47:02,Streaming,Y,Y,38.0,1900-01-01 00:05:31,4.0,331.0,14
ID0170,Dan,2021-01-03,1900-01-01 14:47:02,Streaming,Y,Y,14.0,1900-01-01 00:06:14,4.0,374.0,14
ID0171,Martha,2021-01-03,1900-01-01 15:34:34,Streaming,Y,N,25.0,1900-01-01 00:05:32,4.0,332.0,15
ID0172,Dan,2021-01-03,1900-01-01 15:34:34,Contract related,N,N,,,,,15
ID0173,Diane,2021-01-03,1900-01-01 16:29:17,Technical Support,N,N,,,,,16
ID0174,Joe,2021-01-03,1900-01-01 16:29:17,Payment related,Y,Y,117.0,1900-01-01 00:02:07,4.0,127.0,16
ID0175,Stewart,2021-01-03,1900-01-01 17:31:12,Payment related,Y,N,57.0,1900-01-01 00:06:01,2.0,361.0,17
ID0176,Martha,2021-01-03,1900-01-01 17:31:12,Technical Support,Y,Y,119.0,1900-01-01 00:05:19,5.0,319.0,17
ID0177,Martha,2021-01-04,1900-01-01 09:01:26,Contract related,N,N,,,,,9
ID0178,Diane,2021-01-04,1900-01-01 09:01:26,Streaming,Y,Y,93.0,1900-01-01 00:06:32,5.0,392.0,9
ID0179,Martha,2021-01-04,1900-01-01 09:31:41,Payment related,Y,Y,86.0,1900-01-01 00:01:04,4.0,64.0,9
ID0180,Joe,2021-01-04,1900-01-01 09:31:41,Streaming,N,N,,,,,9
ID0181,Dan,2021-01-04,1900-01-01 09:43:12,Contract related,Y,Y,92.0,1900-01-01 00:02:59,3.0,179.0,9
ID0182,Greg,2021-01-04,1900-01-01 09:43:12,Streaming,N,N,,,,,9
ID0183,Martha,2021-01-04,1900-01-01 10:03:22,Technical Support,Y,Y,106.0,1900-01-01 00:05:42,3.0,342.0,10
ID0184,Stewart,2021-01-04,1900-01-01 10:03:22,Technical Support,Y,Y,67.0,1900-01-01 00:02:44,3.0,164.0,10
ID0185,Jim,2021-01-04,1900-01-01 10:27:50,Streaming,Y,Y,90.0,1900-01-01 00:04:17,3.0,257.0,10
ID0186,Diane,2021-01-04,1900-01-01 10:27:50,Technical Support,N,N,,,,,10
ID0187,Becky,2021-01-04,1900-01-01 11:09:36,Streaming,Y,N,50.0,1900-01-01 00:03:49,4.0,229.0,11
ID0188,Diane,2021-01-04,1900-01-01 11:09:36,Admin Support,Y,N,89.0,1900-01-01 00:04:16,3.0,256.0,11
ID0189,Jim,2021-01-04,1900-01-01 11:13:55,Admin Support,Y,Y,74.0,1900-01-01 00:06:18,3.0,378.0,11
ID0190,Martha,2021-01-04,1900-01-01 11:13:55,Payment related,Y,Y,63.0,1900-01-01 00:02:22,2.0,142.0,11
ID0191,Becky,2021-01-04,1900-01-01 11:18:14,Contract related,Y,Y,45.0,1900-01-01 00:06:31,5.0,391.0,11
ID0192,Martha,2021-01-04,1900-01-01 11:18:14,Technical Support,N,N,,,,,11
ID0193,Dan,2021-01-04,1900-01-01 11:22:34,Payment related,Y,Y,31.0,1900-01-01 00:06:43,2.0,403.0,11
ID0194,Joe,2021-01-04,1900-01-01 11:22:34,Streaming,N,N,,,,,11
ID0195,Joe,2021-01-04,1900-01-01 11:32:38,Contract related,Y,Y,43.0,1900-01-01 00:03:44,5.0,224.0,11
ID0196,Martha,2021-01-04,1900-01-01 11:32:38,Streaming,Y,Y,50.0,1900-01-01 00:05:42,4.0,342.0,11
ID0197,Dan,2021-01-04,1900-01-01 12:02:53,Technical Support,Y,Y,48.0,1900-01-01 00:05:12,4.0,312.0,12
ID0198,Martha,2021-01-04,1900-01-01 12:02:53,Admin Support,Y,Y,113.0,1900-01-01 00:02:44,5.0,164.0,12
ID0199,Jim,2021-01-04,1900-01-01 12:15:50,Streaming,N,N,,,,,12
ID0200,Joe,2021-01-04,1900-01-01 12:15:50,Technical Support,Y,Y,103.0,1900-01-01 00:06:40,5.0,400.0,12
ID0201,Becky,2021-01-04,1900-01-01 12:15:50,Technical Support,Y,N,95.0,1900-01-01 00:04:27,3.0,267.0,12
ID0202,Joe,2021-01-04,1900-01-01 12:15:50,Admin Support,Y,Y,30.0,1900-01-01 00:05:04,1.0,304.0,12
ID0203,Greg,2021-01-04,1900-01-01 13:32:10,Admin Support,Y,Y,124.0,1900-01-01 00:03:19,3.0,199.0,13
ID0204,Diane,2021-01-04,1900-01-01 13:32:10,Admin Support,Y,Y,17.0,1900-01-01 00:02:03,5.0,123.0,13
ID0205,Stewart,2021-01-04,1900-01-01 13:45:07,Streaming,Y,Y,113.0,1900-01-01 00:06:00,3.0,360.0,13
ID0206,Jim,2021-01-04,1900-01-01 13:45:07,Technical Support,Y,Y,25.0,1900-01-01 00:02:27,5.0,147.0,13
ID0207,Jim,2021-01-04,1900-01-01 13:56:38,Admin Support,Y,Y,52.0,1900-01-01 00:04:22,5.0,262.0,13
ID0208,Dan,2021-01-04,1900-01-01 13:56:38,Admin Support,Y,Y,28.0,1900-01-01 00:02:44,5.0,164.0,13
ID0209,Greg,2021-01-04,1900-01-01 14:25:26,Technical Support,Y,Y,69.0,1900-01-01 00:03:05,3.0,185.0,14
ID0210,Martha,2021-01-04,1900-01-01 14:25:26,Streaming,Y,Y,106.0,1900-01-01 00:03:52,3.0,232.0,14
ID0211,Jim,2021-01-04,1900-01-01 14:28:19,Technical Support,N,N,,,,,14
ID0212,Joe,2021-01-04,1900-01-01 14:28:19,Payment related,Y,Y,26.0,1900-01-01 00:04:59,3.0,299.0,14
ID0213,Joe,2021-01-04,1900-01-01 14:31:12,Payment related,Y,Y,53.0,1900-01-01 00:05:55,4.0,355.0,14
ID0214,Martha,2021-01-04,1900-01-01 14:31:12,Technical Support,Y,Y,77.0,1900-01-01 00:04:10,2.0,250.0,14
ID0215,Jim,2021-01-04,1900-01-01 14:49:55,Contract related,Y,Y,45.0,1900-01-01 00:03:02,3.0,182.0,14
ID0216,Becky,2021-01-04,1900-01-01 14:49:55,Technical Support,N,N,,,,,14
ID0217,Greg,2021-01-04,1900-01-01 15:23:02,Streaming,Y,Y,56.0,1900-01-01 00:04:16,4.0,256.0,15
ID0218,Stewart,2021-01-04,1900-01-01 15:23:02,Admin Support,Y,Y,13.0,1900-01-01 00:03:56,2.0,236.0,15
ID0219,Stewart,2021-01-04,1900-01-01 15:48:58,Admin Support,Y,Y,120.0,1900-01-01 00:06:50,5.0,410.0,15
ID0220,Diane,2021-01-04,1900-01-01 15:48:58,Payment related,Y,Y,22.0,1900-01-01 00:00:50,1.0,50.0,15
