Employee ID,Gender,Job Level after FY20 promotions,New hire FY20?,FY20 Performance Rating,Promotion in FY21?,In base group for Promotion FY21,Target hire balance,FY20 leaver?,In base group for turnover FY20,Department @01.07.2020,Leaver FY,Job Level after FY21 promotions,Last Department in FY20,FTE group,Time type,Department & JL group PRA status,Department & JL group for PRA,Job Level group PRA status,Job Level group for PRA,Time in Job Level @01.07.2020,Job Level before FY20 promotions,Promotion in FY20?,FY19 Performance Rating,Age group,Age @01.07.2020,Nationality 1,Region group: nationality 1,Broad region group: nationality 1,Last hire date,Years since last hire,Rand
11,Male,4 - Manager,N,3,No,Yes,0.50,No,Y,Operations,,4 - Manager,Operations,Full Time,Full Time,Even,4 - Manager & Operations,Even,4 - Manager,2,4 - Manager,N,2,30 to 39,34,Switzerland,Switzerland,Switzerland,1/4/2011,9,0.282224685
12,Female,6 - Junior Officer,N,2,Yes,Yes,0.50,No,Y,Strategy,,5 - Senior Officer,Strategy,Full Time,Full Time,Inconclusive,6 - Junior Officer & Strategy,Even,6 - Junior Officer,3,6 - Junior Officer,N,3,30 to 39,34,France,Europe,Europe,1/4/2017,3,0.543411498
13,Male,5 - Senior Officer,N,2,No,Yes,0.50,No,Y,Operations,,5 - Senior Officer,Operations,Full Time,Full Time,Even,5 - Senior Officer & Operations,Even,5 - Senior Officer,3,5 - Senior Officer,N,3,20 to 29,29,Germany,Europe,Europe,1/4/2015,5,0.73358729
14,Male,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,3,6 - Junior Officer,N,2,20 to 29,20,Switzerland,Switzerland,Switzerland,1/4/2017,3,0.63957198
15,Male,6 - Junior Officer,N,3,No,No,0.50,Yes,Y,Internal Services,FY20,,Internal Services,Full Time,Full Time,,,,,1,6 - Junior Officer,N,,20 to 29,28,France,Europe,Europe,1/4/2019,1,0.043556498
16,Male,4 - Manager,N,3,No,Yes,0.50,No,Y,Strategy,,4 - Manager,Strategy,Full Time,Full Time,Inconclusive,4 - Manager & Strategy,Even,4 - Manager,3,4 - Manager,N,3,30 to 39,34,Germany,Europe,Europe,1/4/2015,5,0.531542263
17,Male,6 - Junior Officer,N,3,No,Yes,0.50,No,Y,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,2,6 - Junior Officer,N,4,20 to 29,24,Switzerland,Switzerland,Switzerland,1/4/2018,2,0.866465261
18,Female,6 - Junior Officer,N,2,Yes,Yes,0.50,No,Y,Sales & Marketing,,5 - Senior Officer,Sales & Marketing,80%,Part Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,4,6 - Junior Officer,N,3,30 to 39,32,Italy,Europe,Europe,1/4/2016,4,0.718146608
19,Male,5 - Senior Officer,N,2,No,Yes,0.50,No,Y,Sales & Marketing,,5 - Senior Officer,Sales & Marketing,Full Time,Full Time,Even,5 - Senior Officer & Sales & Marketing,Even,5 - Senior Officer,3,5 - Senior Officer,N,,30 to 39,30,Switzerland,Switzerland,Switzerland,1/4/2017,3,0.247820187
20,Female,5 - Senior Officer,N,2,No,Yes,0.50,No,Y,Operations,,5 - Senior Officer,Operations,Full Time,Full Time,Even,5 - Senior Officer & Operations,Even,5 - Senior Officer,1,6 - Junior Officer,Y,1,30 to 39,32,Germany,Europe,Europe,1/4/2012,8,0.436656745
21,Male,3 - Senior Manager,N,3,No,No,0.50,Yes,Y,Strategy,FY20,,Strategy,Full Time,Full Time,,,,,7,3 - Senior Manager,N,3,30 to 39,31,Switzerland,Switzerland,Switzerland,1/4/2013,7,0.038887261
22,Male,6 - Junior Officer,N,3,No,No,0.50,Yes,Y,Sales & Marketing,FY20,,Sales & Marketing,Full Time,Full Time,,,,,3,6 - Junior Officer,N,3,20 to 29,26,Switzerland,Switzerland,Switzerland,1/4/2017,3,0.668647864
23,Male,2 - Director,N,3,No,Yes,0.50,No,Y,Internal Services,,2 - Director,Internal Services,Full Time,Full Time,Inconclusive,2 - Director & Internal Services,Uneven - Men benefit,2 - Director,5,2 - Director,N,,40 to 49,44,Switzerland,Switzerland,Switzerland,1/4/2015,5,0.277502007
24,Male,5 - Senior Officer,N,4,No,Yes,0.50,No,Y,Sales & Marketing,,5 - Senior Officer,Sales & Marketing,Full Time,Full Time,Even,5 - Senior Officer & Sales & Marketing,Even,5 - Senior Officer,3,5 - Senior Officer,N,3,20 to 29,26,United Kingdom,Europe,Europe,1/4/2014,6,0.595591165
25,Male,4 - Manager,N,2,No,Yes,0.50,No,Y,Operations,,4 - Manager,Operations,Full Time,Full Time,Even,4 - Manager & Operations,Even,4 - Manager,3,4 - Manager,N,3,30 to 39,36,France,Europe,Europe,1/4/2014,6,0.329322055
26,Male,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Internal Services,,6 - Junior Officer,Internal Services,Full Time,Full Time,Even,6 - Junior Officer & Internal Services,Even,6 - Junior Officer,2,6 - Junior Officer,N,3,20 to 29,22,Switzerland,Switzerland,Switzerland,1/4/2018,2,0.681810689
27,Female,5 - Senior Officer,N,3,No,Yes,0.50,No,Y,Internal Services,,5 - Senior Officer,Internal Services,Full Time,Full Time,Even,5 - Senior Officer & Internal Services,Even,5 - Senior Officer,3,5 - Senior Officer,N,2,30 to 39,33,Switzerland,Switzerland,Switzerland,1/4/2016,4,0.805483674
28,Male,5 - Senior Officer,N,4,No,Yes,0.50,No,Y,Sales & Marketing,,5 - Senior Officer,Sales & Marketing,Full Time,Full Time,Even,5 - Senior Officer & Sales & Marketing,Even,5 - Senior Officer,2,5 - Senior Officer,N,2,20 to 29,27,Italy,Europe,Europe,1/4/2016,4,0.773028425
29,Female,5 - Senior Officer,N,2,No,Yes,0.50,No,Y,Finance,,5 - Senior Officer,Finance,Full Time,Full Time,Inconclusive,5 - Senior Officer & Finance,Even,5 - Senior Officer,2,5 - Senior Officer,N,3,30 to 39,32,Italy,Europe,Europe,1/4/2016,4,0.533792143
30,Male,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,1,6 - Junior Officer,N,,20 to 29,25,Switzerland,Switzerland,Switzerland,1/4/2019,1,0.47527266
31,Female,6 - Junior Officer,N,2,Yes,Yes,0.50,No,Y,Operations,,5 - Senior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,3,6 - Junior Officer,N,2,30 to 39,33,Switzerland,Switzerland,Switzerland,1/4/2017,3,0.427932564
32,Male,4 - Manager,N,1,Yes,Yes,0.50,No,Y,Sales & Marketing,,3 - Senior Manager,Sales & Marketing,Full Time,Full Time,Uneven - Men benefit,4 - Manager & Sales & Marketing,Even,4 - Manager,2,4 - Manager,N,2,30 to 39,30,Switzerland,Switzerland,Switzerland,1/4/2012,8,0.882613787
33,Male,4 - Manager,N,2,No,Yes,0.50,No,Y,Sales & Marketing,,4 - Manager,Sales & Marketing,Full Time,Full Time,Uneven - Men benefit,4 - Manager & Sales & Marketing,Even,4 - Manager,1,5 - Senior Officer,Y,1,30 to 39,33,Germany,Europe,Europe,1/4/2014,6,0.933691389
34,Female,5 - Senior Officer,N,1,Yes,Yes,0.50,No,Y,Internal Services,,4 - Manager,Internal Services,Full Time,Full Time,Even,5 - Senior Officer & Internal Services,Even,5 - Senior Officer,5,5 - Senior Officer,N,2,30 to 39,37,Switzerland,Switzerland,Switzerland,1/4/2014,6,0.256337041
35,Male,5 - Senior Officer,N,3,No,Yes,0.50,No,Y,Internal Services,,5 - Senior Officer,Internal Services,Full Time,Full Time,Even,5 - Senior Officer & Internal Services,Even,5 - Senior Officer,3,5 - Senior Officer,N,,20 to 29,27,Switzerland,Switzerland,Switzerland,1/4/2017,3,0.59361396
36,Male,3 - Senior Manager,N,1,No,Yes,0.50,No,Y,Sales & Marketing,,3 - Senior Manager,Sales & Marketing,Full Time,Full Time,Uneven - Men benefit,3 - Senior Manager & Sales & Marketing,Uneven - Men benefit,3 - Senior Manager,3,3 - Senior Manager,N,3,30 to 39,39,Portugal,Europe,Europe,1/4/2015,5,0.750402027
37,Male,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,2,6 - Junior Officer,N,2,20 to 29,25,Switzerland,Switzerland,Switzerland,1/4/2018,2,0.836337523
38,Female,6 - Junior Officer,Y,,No,No,0.50,No,N,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,0,,N,,20 to 29,27,Italy,Europe,Europe,1/4/2020,0,0.081593632
39,Male,5 - Senior Officer,N,3,No,Yes,0.50,No,Y,Internal Services,,5 - Senior Officer,Internal Services,Full Time,Full Time,Even,5 - Senior Officer & Internal Services,Even,5 - Senior Officer,1,6 - Junior Officer,Y,2,20 to 29,24,Switzerland,Switzerland,Switzerland,1/4/2015,5,0.114757508
40,Male,6 - Junior Officer,N,3,No,Yes,0.50,No,Y,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,3,6 - Junior Officer,N,2,20 to 29,21,Germany,Europe,Europe,1/4/2017,3,0.179845207
41,Female,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,2,6 - Junior Officer,N,3,20 to 29,27,France,Europe,Europe,1/4/2018,2,0.01561928
42,Female,6 - Junior Officer,N,3,No,Yes,0.50,No,Y,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,1,6 - Junior Officer,N,,20 to 29,28,Switzerland,Switzerland,Switzerland,1/4/2019,1,0.432858583
43,Male,3 - Senior Manager,N,2,No,Yes,0.50,No,Y,Operations,,3 - Senior Manager,Operations,Full Time,Full Time,Even,3 - Senior Manager & Operations,Uneven - Men benefit,3 - Senior Manager,4,3 - Senior Manager,N,2,40 to 49,40,Switzerland,Switzerland,Switzerland,1/4/2016,4,0.901007687
44,Female,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Sales & Marketing,,6 - Junior Officer,Sales & Marketing,Full Time,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,2,6 - Junior Officer,N,2,20 to 29,23,Italy,Europe,Europe,1/4/2018,2,0.718945162
45,Male,2 - Director,N,2,No,No,0.50,Yes,Y,Internal Services,FY20,,Internal Services,Full Time,Full Time,,,,,3,2 - Director,N,3,50 to 59,54,Switzerland,Switzerland,Switzerland,1/4/2011,9,0.051088418
46,Male,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Internal Services,,6 - Junior Officer,Internal Services,Full Time,Full Time,Even,6 - Junior Officer & Internal Services,Even,6 - Junior Officer,3,6 - Junior Officer,N,3,20 to 29,26,France,Europe,Europe,1/4/2017,3,0.251616292
47,Female,4 - Manager,N,2,No,Yes,0.50,No,Y,HR,,4 - Manager,HR,Full Time,Full Time,Inconclusive,4 - Manager & HR,Even,4 - Manager,2,4 - Manager,N,3,30 to 39,36,Austria,Europe,Europe,1/4/2016,4,0.750179905
48,Female,6 - Junior Officer,N,3,No,Yes,0.50,No,Y,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,3,6 - Junior Officer,N,3,20 to 29,22,France,Europe,Europe,1/4/2017,3,0.456260019
49,Female,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,HR,,6 - Junior Officer,HR,Full Time,Full Time,Inconclusive,6 - Junior Officer & HR,Even,6 - Junior Officer,2,6 - Junior Officer,N,2,30 to 39,31,Switzerland,Switzerland,Switzerland,1/4/2018,2,0.077309062
50,Female,6 - Junior Officer,N,3,No,Yes,0.50,No,Y,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,2,6 - Junior Officer,N,3,20 to 29,22,Austria,Europe,Europe,1/4/2018,2,0.072803144
51,Male,5 - Senior Officer,N,2,Yes,Yes,0.50,No,Y,Operations,,4 - Manager,Operations,Full Time,Full Time,Even,5 - Senior Officer & Operations,Even,5 - Senior Officer,6,5 - Senior Officer,N,3,30 to 39,31,Switzerland,Switzerland,Switzerland,1/4/2012,8,0.874286228
52,Male,4 - Manager,N,2,No,Yes,0.50,No,Y,Sales & Marketing,,4 - Manager,Sales & Marketing,Full Time,Full Time,Uneven - Men benefit,4 - Manager & Sales & Marketing,Even,4 - Manager,2,4 - Manager,N,3,30 to 39,32,France,Europe,Europe,1/4/2012,8,0.172213195
53,Male,5 - Senior Officer,N,2,No,Yes,0.50,No,Y,Sales & Marketing,,5 - Senior Officer,Sales & Marketing,Full Time,Full Time,Even,5 - Senior Officer & Sales & Marketing,Even,5 - Senior Officer,3,5 - Senior Officer,N,2,30 to 39,30,Switzerland,Switzerland,Switzerland,1/4/2012,8,0.500181723
54,Male,5 - Senior Officer,N,2,Yes,Yes,0.50,No,Y,Operations,,4 - Manager,Operations,Full Time,Full Time,Even,5 - Senior Officer & Operations,Even,5 - Senior Officer,7,5 - Senior Officer,N,3,30 to 39,33,Switzerland,Switzerland,Switzerland,1/4/2012,8,0.979921498
55,Female,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Sales & Marketing,,6 - Junior Officer,Sales & Marketing,Full Time,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,3,6 - Junior Officer,N,3,20 to 29,25,Switzerland,Switzerland,Switzerland,1/4/2017,3,0.07899107
56,Male,6 - Junior Officer,Y,,No,No,0.50,No,N,Sales & Marketing,,6 - Junior Officer,Sales & Marketing,Full Time,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,0,,N,,20 to 29,25,Switzerland,Switzerland,Switzerland,1/4/2020,0,0.57219603
57,Female,4 - Manager,N,,No,No,0.50,Yes,Y,Sales & Marketing,FY20,,Sales & Marketing,Full Time,Full Time,,,,,3,4 - Manager,N,3,30 to 39,38,United Kingdom,Europe,Europe,1/4/2016,4,0.763700019
58,Male,5 - Senior Officer,N,2,Yes,Yes,0.50,No,Y,Sales & Marketing,,4 - Manager,Sales & Marketing,Full Time,Full Time,Even,5 - Senior Officer & Sales & Marketing,Even,5 - Senior Officer,2,5 - Senior Officer,N,3,30 to 39,35,Switzerland,Switzerland,Switzerland,1/4/2018,2,0.732907826
59,Male,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,1,6 - Junior Officer,N,,20 to 29,22,Switzerland,Switzerland,Switzerland,1/4/2019,1,0.308955534
60,Male,6 - Junior Officer,N,2,No,No,0.50,Yes,Y,Operations,FY20,,Operations,Full Time,Full Time,,,,,3,6 - Junior Officer,N,3,30 to 39,38,France,Europe,Europe,1/4/2017,3,0.425799283
61,Female,6 - Junior Officer,N,3,No,Yes,0.50,No,Y,Sales & Marketing,,6 - Junior Officer,Sales & Marketing,Full Time,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,1,6 - Junior Officer,N,,20 to 29,23,France,Europe,Europe,1/4/2019,1,0.16099299
62,Female,5 - Senior Officer,N,3,No,No,0.50,Yes,Y,Operations,FY20,,Operations,80%,Part Time,,,,,2,5 - Senior Officer,N,3,50 to 59,56,Switzerland,Switzerland,Switzerland,1/4/2012,8,0.980027142
63,Male,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Sales & Marketing,,6 - Junior Officer,Sales & Marketing,Full Time,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,1,6 - Junior Officer,N,,20 to 29,20,United States,Americas,Elsewhere,1/4/2019,1,0.798327807
64,Male,2 - Director,N,3,No,Yes,0.50,No,Y,Sales & Marketing,,2 - Director,Sales & Marketing,Full Time,Full Time,Inconclusive,2 - Director & Sales & Marketing,Uneven - Men benefit,2 - Director,3,2 - Director,N,3,30 to 39,36,Switzerland,Switzerland,Switzerland,1/4/2011,9,0.615618886
65,Female,2 - Director,N,2,No,Yes,0.50,No,Y,Sales & Marketing,,2 - Director,Sales & Marketing,Full Time,Full Time,Inconclusive,2 - Director & Sales & Marketing,Uneven - Men benefit,2 - Director,3,2 - Director,N,3,40 to 49,45,France,Europe,Europe,1/4/2016,4,0.359687602
66,Female,3 - Senior Manager,N,3,No,Yes,0.50,No,Y,Sales & Marketing,,3 - Senior Manager,Sales & Marketing,Full Time,Full Time,Uneven - Men benefit,3 - Senior Manager & Sales & Marketing,Uneven - Men benefit,3 - Senior Manager,1,4 - Manager,Y,2,30 to 39,39,Germany,Europe,Europe,1/4/2015,5,0.754554486
67,Male,2 - Director,N,2,No,Yes,0.50,No,Y,Operations,,2 - Director,Operations,Full Time,Full Time,Even,2 - Director & Operations,Uneven - Men benefit,2 - Director,1,3 - Senior Manager,Y,1,40 to 49,46,Switzerland,Switzerland,Switzerland,1/4/2016,4,0.594068397
68,Male,5 - Senior Officer,N,3,No,Yes,0.50,No,Y,Sales & Marketing,,5 - Senior Officer,Sales & Marketing,Full Time,Full Time,Even,5 - Senior Officer & Sales & Marketing,Even,5 - Senior Officer,5,5 - Senior Officer,N,3,20 to 29,25,Switzerland,Switzerland,Switzerland,1/4/2014,6,0.184193088
69,Female,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,2,6 - Junior Officer,N,2,20 to 29,26,United Kingdom,Europe,Europe,1/4/2018,2,0.259591482
70,Male,5 - Senior Officer,N,2,No,Yes,0.50,No,Y,Sales & Marketing,,5 - Senior Officer,Sales & Marketing,Full Time,Full Time,Even,5 - Senior Officer & Sales & Marketing,Even,5 - Senior Officer,4,5 - Senior Officer,N,3,20 to 29,29,Switzerland,Switzerland,Switzerland,1/4/2016,4,0.248200385
71,Female,4 - Manager,N,3,No,Yes,0.50,No,Y,Operations,,4 - Manager,Operations,Full Time,Full Time,Even,4 - Manager & Operations,Even,4 - Manager,4,4 - Manager,N,3,40 to 49,40,Portugal,Europe,Europe,1/4/2011,9,0.666710789
72,Female,5 - Senior Officer,N,2,No,Yes,0.50,No,Y,Operations,,5 - Senior Officer,Operations,Full Time,Full Time,Even,5 - Senior Officer & Operations,Even,5 - Senior Officer,4,5 - Senior Officer,N,3,30 to 39,34,France,Europe,Europe,1/4/2016,4,0.050144003
73,Male,2 - Director,Y,,No,No,0.50,No,N,Operations,,2 - Director,Operations,Full Time,Full Time,Even,2 - Director & Operations,Uneven - Men benefit,2 - Director,0,,N,,50 to 59,51,Switzerland,Switzerland,Switzerland,1/4/2020,0,0.143934556
74,Female,5 - Senior Officer,N,,No,No,0.50,Yes,Y,Sales & Marketing,FY20,,Sales & Marketing,80%,Part Time,,,,,3,5 - Senior Officer,N,3,40 to 49,41,Switzerland,Switzerland,Switzerland,1/4/2017,3,0.080034805
75,Female,6 - Junior Officer,N,3,No,Yes,0.50,No,Y,Sales & Marketing,,6 - Junior Officer,Sales & Marketing,Full Time,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,3,6 - Junior Officer,N,2,20 to 29,24,Switzerland,Switzerland,Switzerland,1/4/2017,3,0.071504705
76,Female,4 - Manager,N,2,Yes,Yes,0.50,No,Y,Internal Services,,3 - Senior Manager,Internal Services,Full Time,Full Time,Even,4 - Manager & Internal Services,Even,4 - Manager,4,4 - Manager,N,3,40 to 49,43,Switzerland,Switzerland,Switzerland,1/4/2012,8,0.936234559
77,Male,3 - Senior Manager,N,2,No,Yes,0.50,No,Y,Sales & Marketing,,3 - Senior Manager,Sales & Marketing,Full Time,Full Time,Uneven - Men benefit,3 - Senior Manager & Sales & Marketing,Uneven - Men benefit,3 - Senior Manager,2,3 - Senior Manager,N,3,40 to 49,41,Germany,Europe,Europe,1/4/2016,4,0.702551967
78,Female,5 - Senior Officer,N,2,No,Yes,0.50,No,Y,Sales & Marketing,,5 - Senior Officer,Sales & Marketing,70%,Part Time,Even,5 - Senior Officer & Sales & Marketing,Even,5 - Senior Officer,3,5 - Senior Officer,N,3,30 to 39,31,Switzerland,Switzerland,Switzerland,1/4/2012,8,0.692433978
79,Male,6 - Junior Officer,Y,,No,No,0.50,No,N,Sales & Marketing,,6 - Junior Officer,Sales & Marketing,Full Time,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,0,,N,,20 to 29,26,Germany,Europe,Europe,1/4/2020,0,0.895635786
80,Female,5 - Senior Officer,N,3,No,Yes,0.50,No,Y,Operations,,5 - Senior Officer,Operations,50%,Part Time,Even,5 - Senior Officer & Operations,Even,5 - Senior Officer,3,5 - Senior Officer,N,2,20 to 29,28,France,Europe,Europe,1/4/2014,6,0.284431992
81,Male,2 - Director,N,3,No,Yes,0.50,No,Y,Operations,,2 - Director,Operations,Full Time,Full Time,Even,2 - Director & Operations,Uneven - Men benefit,2 - Director,3,2 - Director,N,2,40 to 49,42,Switzerland,Switzerland,Switzerland,1/4/2013,7,0.978090357
82,Male,6 - Junior Officer,N,1,No,Yes,0.50,No,Y,Internal Services,,6 - Junior Officer,Internal Services,Full Time,Full Time,Even,6 - Junior Officer & Internal Services,Even,6 - Junior Officer,2,6 - Junior Officer,N,3,20 to 29,25,Switzerland,Switzerland,Switzerland,1/4/2018,2,0.866345024
83,Female,6 - Junior Officer,N,4,No,Yes,0.50,No,Y,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,3,6 - Junior Officer,N,3,20 to 29,23,Switzerland,Switzerland,Switzerland,1/4/2017,3,0.458654118
84,Female,6 - Junior Officer,N,3,No,Yes,0.50,No,Y,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,3,6 - Junior Officer,N,3,20 to 29,26,France,Europe,Europe,1/4/2017,3,0.870221357
85,Male,2 - Director,N,4,No,No,0.50,Yes,Y,Internal Services,FY20,,Internal Services,Full Time,Full Time,,,,,2,2 - Director,N,4,30 to 39,33,France,Europe,Europe,1/4/2017,3,0.290548182
86,Female,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Sales & Marketing,,6 - Junior Officer,Sales & Marketing,Full Time,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,2,6 - Junior Officer,N,3,20 to 29,25,Switzerland,Switzerland,Switzerland,1/4/2018,2,0.607025364
87,Male,1 - Executive,N,,No,No,0.50,No,Y,Internal Services,,1 - Executive,Internal Services,Full Time,Full Time,,,,,3,1 - Executive,N,2,40 to 49,40,Switzerland,Switzerland,Switzerland,1/4/2011,9,0.882730274
88,Male,6 - Junior Officer,N,2,Yes,Yes,0.50,No,Y,HR,,5 - Senior Officer,HR,Full Time,Full Time,Inconclusive,6 - Junior Officer & HR,Even,6 - Junior Officer,3,6 - Junior Officer,N,3,20 to 29,24,Switzerland,Switzerland,Switzerland,1/4/2017,3,0.310457355
89,Male,3 - Senior Manager,Y,,No,No,0.50,No,N,Internal Services,,3 - Senior Manager,Internal Services,Full Time,Full Time,Uneven - Men benefit,3 - Senior Manager & Internal Services,Uneven - Men benefit,3 - Senior Manager,0,,N,,30 to 39,38,Germany,Europe,Europe,1/4/2020,0,0.659458985
90,Male,5 - Senior Officer,N,2,No,Yes,0.50,No,Y,Sales & Marketing,,5 - Senior Officer,Sales & Marketing,Full Time,Full Time,Even,5 - Senior Officer & Sales & Marketing,Even,5 - Senior Officer,1,6 - Junior Officer,Y,1,20 to 29,29,Switzerland,Switzerland,Switzerland,1/4/2011,9,0.586065542
91,Male,5 - Senior Officer,N,2,Yes,Yes,0.50,No,Y,Operations,,4 - Manager,Operations,Full Time,Full Time,Even,5 - Senior Officer & Operations,Even,5 - Senior Officer,1,6 - Junior Officer,Y,1,30 to 39,31,Germany,Europe,Europe,1/4/2015,5,0.868371183
